                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.5621,                 1.8323,                  2.114,                0.92412,                0.88122,                0.97476,                0.76938,                 1.7476,                0.85395,                 2.5339,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.5279,                 1.7967,                 2.1331,                0.88646,                0.91667,                0.98167,                0.77279,                 1.7507,                0.87305,                 2.5399,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.6063,                 1.7909,                 2.2011,                0.97028,                0.94436,                  0.987,                0.78821,                 1.7516,                0.83295,                 2.5479,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.6539,                 1.8267,                 2.1663,                0.96527,                0.95833,                0.99192,                0.78279,                  1.749,                 0.8111,                 2.5229,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.6694,                 1.8504,                 2.1589,                0.96708,                0.98259,                  0.995,                0.79368,                 1.7608,                0.78825,                 2.5248,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.5618,                 1.6576,                 2.0857,                      1,                 0.9806,                  0.995,                0.79748,                 1.7497,                0.78023,                 2.5204,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.6111,                 1.7571,                 2.2048,                 0.9671,                  0.984,                  0.995,                0.79622,                 1.7322,                0.74815,                 2.4973,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.732,                 1.8715,                 2.2216,                0.98322,                      1,                  0.995,                 0.8011,                 1.6873,                0.72996,                 2.4572,             0.00024772,             0.00024772,             0.00024772
                     88,                  1.586,                 1.6023,                 2.1049,                0.98045,                      1,                  0.995,                 0.8068,                 1.6863,                0.69472,                 2.4734,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.5736,                 1.6996,                 2.1006,                 0.9586,                0.95833,                0.99192,                0.78745,                 1.7139,                0.74116,                 2.5172,             0.00021471,             0.00021471,             0.00021471
                     90,                  1.549,                 1.7222,                 2.1932,                0.93479,                      1,                  0.995,                0.78351,                 1.7338,                0.76402,                 2.5403,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.4274,                  1.917,                 2.2204,                0.95819,                0.95162,                  0.995,                0.77404,                 1.7551,                0.79179,                  2.539,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.4124,                 1.8356,                 2.2446,                0.98337,                  0.939,                  0.995,                0.77394,                  1.778,                0.80986,                 2.5458,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.4636,                  1.908,                 2.2005,                0.95427,                0.94183,                0.99005,                0.76577,                 1.7815,                0.83835,                  2.541,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.4045,                 1.9055,                 2.1749,                 0.9764,                0.93149,                  0.995,                0.77495,                 1.7821,                0.84499,                 2.5422,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.3816,                 1.9369,                 2.2791,                0.91581,                0.96027,                  0.995,                0.76705,                 1.7765,                 0.8173,                 2.5379,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.3912,                 1.9116,                 2.1357,                0.97701,                0.95833,                0.99192,                0.77753,                 1.7665,                0.76643,                  2.533,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.4168,                 1.8847,                 2.2688,                0.96578,                0.95833,                0.99192,                0.78594,                 1.7479,                 0.7318,                 2.5297,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.4091,                 1.8607,                 2.1875,                0.96603,                0.95833,                0.99192,                0.78648,                 1.7453,                0.72673,                 2.5301,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.4152,                 1.8282,                  2.221,                0.94444,                0.99037,                  0.995,                0.79179,                 1.7423,                0.70807,                 2.5274,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.4096,                 1.8632,                 2.1229,                0.94493,                0.98882,                  0.995,                0.78943,                 1.7454,                 0.7096,                 2.5276,             3.3173e-05,             3.3173e-05,             3.3173e-05
